customer_id,customer_name,monthly_income,loan_amount,collateral_value,duration,interest_rate,existing_debts,credit_score,employment_type,monthly_emi,after_emi,debt_to_income_ratio,loan_to_income_ratio,collateral_to_loan_ratio,approval_probability,risk_score,approved
CUST-00572,Sunil Weerasinghe,135000,4050000,0,72,14,56500,611,Private Sector,83453,-4953,1.0367,30.0,0.0,0,100,0
CUST-02515,Kasun Perera,234000,2350000,3080000,36,16,58000,830,Government,82619,93381,0.6009,10.04,1.31,95,5,1
CUST-03803,Thilini Riaz,221000,1750000,0,36,12,98000,648,Private Sector,58125,64875,0.7064,7.92,0.0,65,35,1
CUST-02329,Nipuni Dissanayake,308000,4600000,0,60,17,136500,756,Business Owner,114322,57178,0.8144,14.94,0.0,70,30,1
CUST-03919,Shanika Abeysekara,207000,2050000,2580000,36,13,36000,736,Private Sector,69073,101927,0.5076,9.9,1.26,95,5,1
CUST-01781,Amal Gunasekara,194000,2900000,3340000,48,16,19000,779,Self-Employed,82187,92813,0.5216,14.95,1.15,90,10,1
CUST-03175,Nirosha Liyanage,225000,6750000,10050000,72,15,85500,774,Business Owner,142729,-3229,1.0144,30.0,1.49,0,100,0
CUST-04565,Kasun Kumar,91000,2000000,0,48,15,13500,713,Senior Mgmt,55661,21839,0.76,21.98,0.0,47,53,1
CUST-01645,Zainab Jayasinghe,617000,7400000,7720000,84,12,108000,795,Private Sector,130630,378370,0.3868,11.99,1.04,95,5,1
CUST-00043,Kavindi Karunaratne,183000,2200000,0,48,15,82000,545,Private Sector,61228,39772,0.7827,12.02,0.0,40,60,0
CUST-03037,Dasun Hettiarachchi,58000,1750000,0,48,18,16500,541,Private Sector,51406,-9906,1.1708,30.17,0.0,0,100,0
CUST-02386,Pradeep Jayawardena,44000,200000,0,18,13,14500,583,Private Sector,12290,17210,0.6089,4.55,0.0,27,73,0
CUST-04776,Lakshan Gamage,52000,1300000,780000,48,15,25000,528,Self-Employed,36180,-9180,1.1765,25.0,0.6,0,100,0
CUST-02048,Pradeep Cassim,112000,1350000,930000,36,18,30500,647,Private Sector,48806,32694,0.7081,12.05,0.69,55,45,0
CUST-04109,Amal Fernando,189000,4150000,4700000,48,12,8500,621,Private Sector,109285,71215,0.6232,21.96,1.13,80,20,1
CUST-03748,Chamara Peiris,319000,8000000,7810000,84,18,68500,806,Government,168143,82357,0.7418,25.08,0.98,95,5,1
CUST-03220,Chamara Karunaratne,59000,300000,0,48,16,18500,790,Private Sector,8502,31998,0.4577,5.08,0.0,71,29,1
CUST-00289,Gayani Raghavan,30000,650000,520000,36,12,16500,436,Self-Employed,21589,-8089,1.2696,21.67,0.8,0,100,0
CUST-01342,Kavindu Wickramasinghe,62000,300000,0,24,15,8000,629,Private Sector,14546,39454,0.3636,4.84,0.0,62,38,1
CUST-01502,Hasitha Dissanayake,142000,2850000,2580000,36,17,42500,643,Private Sector,101610,-2110,1.0149,20.07,0.91,0,100,0
CUST-03271,Sachini Gunasekara,45000,550000,250000,36,12,10000,450,Self-Employed,18268,16732,0.6282,12.22,0.45,12,88,1
CUST-04682,Ruwan Rathnayake,123000,2200000,2570000,36,18,24000,711,Government,79535,19465,0.8417,17.89,1.17,50,50,0
CUST-02211,Kumar Rajapaksa,38000,200000,0,36,13,15000,652,Self-Employed,6739,16261,0.5721,5.26,0.0,29,71,0
CUST-02983,Lahiru Gunaratne,80000,1200000,510000,48,15,23000,492,Self-Employed,33397,23603,0.705,15.0,0.42,15,85,0
CUST-03330,Shanika Raghavan,33000,750000,720000,36,17,6500,771,Government,26740,-240,1.0073,22.73,0.96,0,100,0
CUST-03126,Nirosha Herath,211000,1700000,0,36,12,25500,860,Government,56464,129036,0.3885,8.06,0.0,95,5,1
CUST-00971,Buddhika Rajapaksa,68000,1200000,0,36,15,9500,612,Government,41598,16902,0.7514,17.65,0.0,34,66,1
CUST-01379,Nipuni De Silva,172000,2600000,1890000,36,14,49000,682,Self-Employed,88862,34138,0.8015,15.12,0.73,49,51,0
CUST-02681,Isuru Abeysekara,214000,2150000,1820000,48,14,3500,806,Government,58752,151748,0.2909,10.05,0.85,95,5,1
CUST-04553,Mahesh Silva,55000,650000,0,48,16,7000,619,Government,18421,29579,0.4622,11.82,0.0,57,43,1
CUST-02280,Dilshan Rathnayake,494000,2450000,2000000,60,12,29500,653,Senior Mgmt,54499,410001,0.17,4.96,0.82,95,5,1
CUST-01102,Malith Munasinghe,135000,4700000,4270000,48,15,14500,871,Government,130805,-10305,1.0763,34.81,0.91,0,100,0
CUST-00011,Zainab Silva,153000,2750000,2420000,60,12,18500,643,Government,61172,73328,0.5207,17.97,0.88,86,14,1
CUST-03652,Suresh Karunaratne,222000,2650000,2140000,60,13,39000,544,Self-Employed,60296,122704,0.4473,11.94,0.81,72,28,1
CUST-02271,Pradeep Mendis,35000,750000,380000,48,13,13000,554,Private Sector,20121,1879,0.9463,21.43,0.51,0,100,0
CUST-00472,Chamara Weerasinghe,226000,3400000,0,48,18,112500,539,Self-Employed,99875,13625,0.9397,15.04,0.0,0,100,0
CUST-00094,Fathima Mendis,704000,8450000,11600000,60,18,61500,669,Business Owner,214574,427926,0.3922,12.0,1.37,95,5,1
CUST-02869,Sunil Peiris,202000,5050000,5800000,48,12,25500,840,Government,132986,43514,0.7846,25.0,1.15,92,8,1
CUST-00196,Shanika Silva,520000,5200000,5410000,48,17,181500,755,Private Sector,150046,188454,0.6376,10.0,1.04,95,5,1
CUST-02128,Sampath Abeysekara,37000,900000,0,24,18,12500,757,Private Sector,44932,-20432,1.5522,24.32,0.0,0,100,0
CUST-01713,Udaya Gunasekara,358000,10750000,0,84,17,135500,772,Business Owner,219685,2815,0.9921,30.03,0.0,0,100,0
CUST-04299,Mohamed Silva,214000,7500000,11700000,84,16,84000,737,Private Sector,148965,-18965,1.0886,35.05,1.56,0,100,0
CUST-02054,Kavindu Gamage,404000,14150000,21650000,72,16,100500,715,Government,306940,-3440,1.0085,35.02,1.53,0,100,0
CUST-01820,Dilshan Raghavan,109000,550000,0,48,12,15000,892,Government,14484,79516,0.2705,5.05,0.0,95,5,1
CUST-04919,Lakshan Munasinghe,367000,2950000,0,36,15,65000,648,Private Sector,102263,199737,0.4558,8.04,0.0,84,16,1
CUST-01061,Dilshan Herath,518000,15000000,22190000,72,15,88000,523,Business Owner,317175,112825,0.7822,28.96,1.48,74,26,1
CUST-02608,Kumar Peiris,122000,3050000,2080000,60,16,26500,643,Private Sector,74170,21330,0.8252,25.0,0.68,37,63,0
CUST-01364,Kavindu Raghavan,69000,1700000,0,60,18,18500,601,Government,43169,7331,0.8938,24.64,0.0,3,97,0
CUST-03452,Chamara Samaraweera,38000,850000,0,48,15,2000,750,Private Sector,23656,12344,0.6752,22.37,0.0,34,66,0
CUST-02221,Nimal Munasinghe,479000,8600000,12410000,60,18,117000,595,Self-Employed,218383,143617,0.7002,17.95,1.44,73,27,1
CUST-01914,Sampath De Silva,236000,7100000,10150000,60,13,41500,721,Private Sector,161547,32953,0.8604,30.08,1.43,68,32,1
CUST-01583,Ravi Ekanayake,67000,1700000,730000,36,12,22000,731,Private Sector,56464,-11464,1.1711,25.37,0.43,0,100,0
CUST-00187,Ravi Perera,47000,400000,0,24,16,7000,665,Private Sector,19585,20415,0.5656,8.51,0.0,46,54,1
CUST-02553,Ishara Jayasinghe,86000,450000,0,36,16,5000,849,Government,15821,65179,0.2421,5.23,0.0,95,5,1
CUST-04619,Tharindu Gunaratne,33000,1150000,0,48,13,7500,636,Government,30852,-5352,1.1622,34.85,0.0,0,100,0
CUST-04835,Dinesh Amarasekara,91000,750000,0,24,15,12000,547,Business Owner,36365,42635,0.5315,8.24,0.0,53,47,1
CUST-03914,Ruwan Rajapaksa,760000,11400000,14660000,72,13,53000,751,Private Sector,228845,478155,0.3708,15.0,1.29,95,5,1
CUST-01783,Nimal Weerasinghe,127000,1000000,780000,36,18,9500,747,Business Owner,36152,81348,0.3595,7.87,0.78,94,6,1
CUST-04605,Lahiru Bandara,788000,15000000,16730000,72,15,207500,643,Business Owner,317175,263325,0.6658,19.04,1.12,86,14,1
CUST-00322,Kavindi Weerasinghe,178000,5350000,5540000,60,17,32000,782,Private Sector,132961,13039,0.9267,30.06,1.04,38,62,0
CUST-03765,Lahiru Weerasinghe,249000,5500000,6160000,72,18,55500,803,Government,125443,68057,0.7267,22.09,1.12,95,5,1
CUST-01751,Thilini Hettiarachchi,130000,1550000,0,60,17,51000,668,Self-Employed,38521,40479,0.6886,11.92,0.0,58,42,0
CUST-04300,Lakshan Wickramasinghe,176000,4400000,3950000,60,15,2500,580,Private Sector,104676,68824,0.609,25.0,0.9,72,28,1
CUST-03863,Manjula Rajapaksa,563000,4500000,0,60,15,48500,720,Government,107055,407445,0.2763,7.99,0.0,95,5,1
CUST-00127,Sachini Perera,592000,13000000,14580000,72,13,234500,630,Private Sector,260963,96537,0.8369,21.96,1.12,78,22,1
